id,subject,topic,year,stem,r1_text,r1_ans,r1_info,r2_text,r2_ans,r2_info,r3_text,r3_ans,r3_info,r4_text,r4_ans,r4_info,r5_text,r5_ans,r5_info
1,Physiology,CVS,2023,Regarding the cardiac cycle:,Ventricular volume is highest at end-diastole.,T,EDV is the maximum volume.,Isovolumetric contraction occurs before aortic valve opens.,T,Pressure builds without volume change.,First heart sound marks the opening of AV valves.,F,It marks the closing of AV valves.,Aortic pressure is highest during isovolumetric relaxation.,F,Highest during rapid ejection.,T wave represents ventricular depolarization.,F,T wave is ventricular repolarization.
2,Physiology,CVS,2023,Regarding cardiac output:,It equals stroke volume multiplied by heart rate.,T,CO = SV x HR.,Parasympathetic stimulation increases it.,F,Vagal tone decreases HR and CO.,End-systolic volume is directly proportional to stroke volume.,F,Inversely proportional.,Preload is determined by venous return.,T,Frank-Starling law.,Afterload is determined by aortic pressure.,T,Resistance to ventricular ejection.
3,Physiology,Renal,2023,Regarding GFR:,It is approximately 125 ml/min in a healthy adult.,T,Normal GFR is 120-125 ml/min.,Constriction of the efferent arteriole decreases GFR.,F,It increases GFR by increasing hydrostatic pressure.,Inulin clearance is used to measure GFR.,T,Inulin is freely filtered and not reabsorbed/secreted.,It is inversely proportional to Bowman's capsule hydrostatic pressure.,T,Increased capsular pressure opposes filtration.,Sympathetic stimulation increases GFR.,F,It causes vasoconstriction decreasing GFR.
4,Physiology,Renal,2023,Regarding tubular reabsorption:,Glucose is primarily reabsorbed in the proximal convoluted tubule.,T,SGLT transporters in PCT.,Aldosterone acts on the principal cells of the collecting duct.,T,Increases Na+ reabsorption and K+ secretion.,ADH inserts aquaporins into the descending limb.,F,Inserts into late distal tubule and collecting duct.,Amino acids are co-transported with sodium.,T,Secondary active transport in PCT.,Urea reabsorption contributes to the medullary gradient.,T,Maintains high osmolarity.
5,Physiology,Excitable tissues,2023,During an action potential:,Depolarization is due to sodium influx.,T,Voltage-gated Na+ channels open.,Repolarization is driven by calcium influx.,F,It is driven by potassium efflux.,The absolute refractory period prevents tetanization in cardiac muscle.,T,Ensures relaxation before next contraction.,Hyperpolarization is caused by delayed closing of K+ channels.,T,K+ continues to leave the cell.,Myelination decreases conduction velocity.,F,It increases it via saltatory conduction.
6,Physiology,Excitable tissues,2023,Regarding skeletal muscle contraction:,Calcium binds to tropomyosin to initiate contraction.,F,It binds to troponin C.,ATP binding causes myosin to detach from actin.,T,Breaks the cross-bridge.,The sarcolemma invaginates to form T-tubules.,T,Allows rapid spread of depolarization.,Smooth muscle relies on troponin for contraction.,F,Relies on calmodulin.,Rigor mortis occurs due to a lack of ATP.,T,Myosin cannot detach from actin.
7,Physiology,GIS,2023,Regarding gastric secretions:,Parietal cells secrete HCl and intrinsic factor.,T,Essential for B12 absorption.,Chief cells secrete gastrin.,F,They secrete pepsinogen.,Secretin stimulates gastric acid secretion.,F,It inhibits it and stimulates pancreatic bicarb.,Omeprazole blocks the H+/K+ ATPase pump.,T,It is a proton pump inhibitor.,Histamine decreases HCl secretion.,F,It stimulates it via H2 receptors.
8,Physiology,GIS,2023,Regarding intestinal absorption:,Iron is absorbed primarily in the terminal ileum.,F,Absorbed primarily in the duodenum.,Bile salts are necessary for lipid absorption.,T,Form micelles.,Fructose is absorbed via active transport.,F,Absorbed via facilitated diffusion (GLUT5).,Vitamin B12 requires intrinsic factor for absorption.,T,Absorbed in the terminal ileum.,Short-chain fatty acids are absorbed into the portal vein.,T,Unlike long-chain which go to lymphatics.
9,Physiology,Neuro,2023,Regarding the autonomic nervous system:,Parasympathetic preganglionic neurons are short.,F,They are long; postganglionic are short.,Acetylcholine is the neurotransmitter at all autonomic ganglia.,T,Both sympathetic and parasympathetic.,Sympathetic postganglionic neurons mostly release norepinephrine.,T,Except sweat glands (ACh).,The vagus nerve carries sympathetic fibers.,F,It carries parasympathetic fibers.,Alpha-1 receptors mediate vasoconstriction.,T,Found in vascular smooth muscle.
10,Physiology,Neuro,2023,Regarding the central nervous system:,The cerebellum coordinates voluntary movement.,T,Lesions cause ataxia.,The hypothalamus regulates body temperature.,T,Functions as the body's thermostat.,Wernicke's area is responsible for motor speech.,F,Broca's area is for motor; Wernicke's is for comprehension.,The dorsal columns carry pain and temperature.,F,Spinothalamic tract does; dorsal columns carry fine touch/proprioception.,CSF is produced by the choroid plexus.,T,Circulates in subarachnoid space.
11,Physiology,Respiratory,2023,Regarding lung volumes:,Vital capacity includes residual volume.,F,VC = IRV + TV + ERV.,Tidal volume is normally 500ml.,T,Normal resting breath.,Surfactant increases lung compliance.,T,By reducing surface tension.,CO2 is primarily transported dissolved in plasma.,F,Primarily as bicarbonate.,The Bohr effect describes O2 release in acidic environments.,T,Facilitates tissue oxygenation.
12,Physiology,Respiratory,2023,Regarding control of breathing:,Central chemoreceptors respond primarily to arterial PO2.,F,Respond to H+ derived from CO2.,Peripheral chemoreceptors are located in the carotid and aortic bodies.,T,Sense drops in PO2.,The dorsal respiratory group controls inspiration.,T,Located in the medulla.,Voluntary control of breathing is mediated by the cerebral cortex.,T,Bypasses medullary centers.,Hypoxia always stimulates ventilation.,F,Severe hypoxia can depress the respiratory center.
13,Physiology,Blood,2023,Regarding hemostasis:,Platelets adhere to von Willebrand factor.,T,Initiates the platelet plug.,Thrombin converts fibrin into fibrinogen.,F,Converts fibrinogen to fibrin.,Plasmin dissolves blood clots.,T,Fibrinolysis.,Factor VIII deficiency causes Hemophilia B.,F,Causes Hemophilia A (IX is B).,Aspirin inhibits thromboxane A2 synthesis.,T,Via COX inhibition.
14,Physiology,Blood,2023,Regarding red blood cells:,They possess a biconcave shape.,T,Increases surface area.,They contain mitochondria for ATP production.,F,They rely on anaerobic glycolysis.,Erythropoietin is produced primarily by the liver.,F,Produced primarily by the kidneys.,The average lifespan of an RBC is 120 days.,T,Destroyed by the spleen.,Vitamin B12 deficiency leads to microcytic anemia.,F,Leads to macrocytic (megaloblastic) anemia.
15,Anatomy,Upper limb,2023,Regarding the axilla:,The anterior wall is formed by the pectoralis major.,T,Along with pec minor.,The axillary artery has four parts.,F,It has three parts.,The long thoracic nerve supplies the serratus anterior.,T,Injury causes winged scapula.,The musculocutaneous nerve pierces the coracobrachialis.,T,Then supplies anterior arm compartment.,The axillary vein lies lateral to the axillary artery.,F,It lies medial.
16,Anatomy,Upper limb,2023,Regarding the brachial plexus:,Roots emerge between the anterior and middle scalene muscles.,T,In the neck.,The posterior cord gives rise to the ulnar nerve.,F,Ulnar arises from the medial cord.,The median nerve supplies the flexor carpi ulnaris.,F,Supplied by the ulnar nerve.,Radial nerve injury causes wrist drop.,T,Supplies wrist extensors.,Erb's palsy involves injury to upper roots (C5-C6).,T,Presents as waiter's tip position.
17,Anatomy,Lower limb,2023,Regarding the femoral triangle:,The lateral border is the sartorius muscle.,T,Medial border is adductor longus.,The femoral nerve is inside the femoral sheath.,F,It lies outside the sheath.,The femoral artery is medial to the femoral vein.,F,Artery is lateral to vein (NAVEL).,The floor includes the pectineus muscle.,T,Along with iliopsoas.,It contains the deep inguinal lymph nodes.,T,Cloquet's node.
18,Anatomy,Lower limb,2023,Regarding the knee joint:,It is a pure hinge joint.,F,Allows some rotation.,The ACL prevents anterior displacement of the tibia.,T,Tested with anterior drawer test.,The medial meniscus is separated from the medial collateral ligament.,F,They are attached.,The popliteus muscle unlocks the knee.,T,Rotates femur laterally.,The patella is a sesamoid bone.,T,Embedded in quadriceps tendon.
19,Anatomy,Abdomen,2023,Regarding the stomach:,The fundus is supplied by short gastric arteries.,T,Branches of the splenic artery.,The left gastric artery arises from the SMA.,F,It arises from the celiac trunk.,It is completely retroperitoneal.,F,It is intraperitoneal.,The pyloric sphincter is physiological.,F,It is an anatomical sphincter.,Parasympathetic supply is via the vagus nerve.,T,Stimulates motility and secretion.
20,Anatomy,Abdomen,2023,Regarding the liver:,It receives most of its blood supply from the hepatic artery.,F,Portal vein supplies 75%.,The falciform ligament attaches it to the anterior abdominal wall.,T,Divides right and left lobes anatomically.,Bile exits via the common hepatic duct.,T,Joins cystic duct to form common bile duct.,The bare area is covered by visceral peritoneum.,F,It is devoid of peritoneum.,The caudate lobe is functionally part of the left lobe.,T,Based on biliary drainage.
21,Anatomy,Thorax,2023,Regarding the heart anatomy:,The right atrium receives the coronary sinus.,T,Along with SVC and IVC.,The mitral valve has three cusps.,F,It is bicuspid.,The left ventricle wall is thicker than the right.,T,Pumps to systemic circulation.,The SA node is located in the left atrium.,F,Located in the right atrium.,The LAD artery supplies the anterior interventricular septum.,T,Also known as the widowmaker.
22,Anatomy,Thorax,2023,Regarding the lungs:,The right lung has three lobes.,T,Superior middle and inferior.,The left lung features the cardiac notch.,T,On its anterior border.,The trachea bifurcates at the level of T4.,T,Sternal angle.,The pulmonary veins carry deoxygenated blood.,F,They carry oxygenated blood to LA.,The parietal pleura is insensitive to pain.,F,Visceral is insensitive; parietal is highly sensitive.
23,Anatomy,Pelvis,2023,Regarding the female pelvis:,The broad ligament contains the uterine tubes.,T,In its upper free border.,The internal iliac artery is the main blood supply.,T,Supplies most pelvic viscera.,The pouch of Douglas is between the bladder and uterus.,F,Between uterus and rectum.,The normal uterine position is anteverted and anteflexed.,T,Over the bladder.,The levator ani forms the pelvic floor.,T,Consists of three muscles.
24,Anatomy,Pelvis,2023,Regarding the male pelvis:,The prostate gland surrounds the membranous urethra.,F,Surrounds the prostatic urethra.,The ductus deferens travels through the inguinal canal.,T,Part of the spermatic cord.,The seminal vesicles store sperm.,F,They secrete seminal fluid; epididymis stores sperm.,The rectovesical pouch is the lowest point in the male peritoneal cavity.,T,Between rectum and bladder.,The bulbourethral glands are located in the deep perineal pouch.,T,Cowper's glands.
25,Anatomy,Perineum,2023,Regarding the perineum:,The pudendal nerve originates from S2-S4.,T,Main nerve of the perineum.,The ischioanal fossa contains fat.,T,Allows expansion during defecation.,The superficial perineal pouch contains the bulbourethral glands.,F,They are in the deep pouch.,The external anal sphincter is under voluntary control.,T,Supplied by inferior rectal nerve.,The perineal body is a fibromuscular node.,T,Crucial for pelvic support.
26,Anatomy,Perineum,2023,Regarding perineal structures:,The clitoris is homologous to the glans penis.,T,Develops from genital tubercle.,The deep perineal pouch contains the sphincter urethrae.,T,In both sexes.,The greater vestibular glands are Bartholin's glands.,T,Homologous to bulbourethral glands.,The perineal membrane separates the pelvis from the perineum.,F,Separates superficial and deep pouches.,The crus of the penis is attached to the ischiopubic ramus.,T,Covered by ischiocavernosus muscle.
27,Anatomy,Histology,2023,Regarding epithelia:,The trachea is lined by simple squamous epithelium.,F,Pseudostratified ciliated columnar.,Transitional epithelium is found in the bladder.,T,Allows for distension.,Microvilli are composed of microtubules.,F,Composed of actin filaments.,Goblet cells are unicellular glands.,T,Secrete mucin.,Stratified squamous epithelium lines the esophagus.,T,Non-keratinized type.
28,Anatomy,Histology,2023,Regarding connective tissue:,Collagen type I is the most abundant protein in the body.,T,Found in bone tendon and skin.,Osteoclasts are derived from osteoprogenitor cells.,F,Derived from monocyte/macrophage lineage.,Hyaline cartilage contains abundant type II collagen.,T,Found in articular surfaces.,Mast cells release histamine and heparin.,T,Involved in allergic responses.,Brown adipose tissue is specialized for heat production.,T,Contains numerous mitochondria.
29,Anatomy,Embryology,2023,Regarding early development:,Fertilization usually occurs in the ampulla.,T,Of the uterine tube.,The neural tube forms the peripheral nervous system.,F,Neural crest forms PNS.,Somites develop from paraxial mesoderm.,T,Form axial skeleton and muscle.,The heart begins to beat at 8 weeks.,F,Starts beating around day 22.,The umbilical cord contains two veins and one artery.,F,Two arteries; one vein.
30,Anatomy,Embryology,2023,Regarding organogenesis:,The liver develops from the endoderm.,T,Originates from foregut.,The lungs develop from the splanchnic mesoderm only.,F,Endoderm forms epithelium.,The kidneys develop from the intermediate mesoderm.,T,Forms urogenital system.,The notochord induces neural plate formation.,T,Acts as signaling center.,Pharyngeal arches are derived entirely from ectoderm.,F,Contain mesoderm neural crest and endoderm.
31,Biochemistry,Carbohydrates,2023,Regarding carbohydrates:,Glucose and galactose are epimers at C4.,T,Differ only at carbon 4.,"Glycogen has alpha-1,6 branches.",T,Provides multiple ends for rapid breakdown.,Cellulose is easily digested by humans.,F,"We lack beta-1,4-glucosidase.",Sucrose is a reducing sugar.,F,Both anomeric carbons are linked.,Fructose enters glycolysis bypassing PFK-1 in the liver.,T,Metabolized via Fructose-1-P.
32,Biochemistry,Carbohydrates,2023,Regarding carbohydrate structure:,Maltose is composed of two glucose units.,T,"Linked by alpha-1,4 bond.","Lactose contains a beta-1,4 linkage.",T,Galactose and glucose.,Starch is entirely composed of unbranched amylose.,F,Contains branched amylopectin too.,Ribose is a hexose sugar.,F,It is a pentose.,Hyaluronic acid is a glycosaminoglycan.,T,Component of extracellular matrix.
33,Biochemistry,Amino acids,2023,Regarding amino acids:,Glycine has a chiral center.,F,Its R-group is just hydrogen.,Proline introduces kinks in alpha helices.,T,Due to its rigid ring structure.,Tryptophan is a precursor to serotonin.,T,Via 5-HTP.,Phenylketonuria is due to missing tyrosine hydroxylase.,F,Phenylalanine hydroxylase deficiency.,Glutamate is an acidic amino acid.,T,Has a carboxyl group in side chain.
34,Biochemistry,Amino acids,2023,Regarding amino acid classification:,Leucine is purely ketogenic.,T,Along with lysine.,Methionine contains a sulfhydryl group.,F,Contains a thioether group.,Cysteine can form disulfide bonds.,T,Important for protein structure.,Histidine plays a role in buffering blood pH.,T,Due to imidazole ring pKa.,Tyrosine is an essential amino acid.,F,Synthesized from phenylalanine.
35,Biochemistry,Nucleic acids,2023,Regarding nucleic acids:,Adenine pairs with thymine via three hydrogen bonds.,F,Via two hydrogen bonds.,Uracil is found in RNA but not DNA.,T,Replaces thymine.,Nucleosides contain a phosphate group.,F,Nucleotides contain phosphate.,DNA strands are antiparallel.,T,Run 5'->3' and 3'->5'.,Gout is caused by excessive purine degradation.,T,Leads to uric acid crystals.
36,Biochemistry,Nucleic acids,2023,Regarding DNA replication:,It is a semi-conservative process.,T,Each daughter gets one old strand.,DNA polymerase synthesizes in the 3' to 5' direction.,F,Synthesizes 5' to 3'.,Helicase unwinds the double helix.,T,Requires ATP.,Okazaki fragments are formed on the leading strand.,F,Formed on the lagging strand.,Ligase joins DNA fragments.,T,Forms phosphodiester bonds.
37,Biochemistry,Lipids,2023,Regarding lipids:,Cholesterol is a precursor for steroid hormones.,T,Including cortisol and testosterone.,Saturated fatty acids have double bonds.,F,Unsaturated have double bonds.,Arachidonic acid has 20 carbons.,T,Precursor to eicosanoids.,Chylomicrons mainly transport endogenous hepatic lipids.,F,They transport dietary lipids.,Beta-oxidation of fatty acids occurs in the mitochondria.,T,Produces acetyl-CoA.
38,Biochemistry,Lipids,2023,Regarding lipid properties:,Phospholipids are amphipathic.,T,Have hydrophilic heads and hydrophobic tails.,Sphingomyelin contains a glycerol backbone.,F,Contains a sphingosine backbone.,Linoleic acid is an essential fatty acid.,T,Omega-6 fatty acid.,Trans fats increase membrane fluidity.,F,They pack tightly and decrease fluidity.,Bile acids are derived from cholesterol.,T,Synthesized in the liver.
39,Biochemistry,Carb metabolism,2023,Regarding glycolysis and gluconeogenesis:,Glycolysis produces a net of 2 ATP per glucose.,T,Under anaerobic conditions.,PFK-1 is the rate-limiting enzyme of glycolysis.,T,"Regulated by AMP and F-2,6-BP.",Gluconeogenesis primarily occurs in the muscle.,F,Primarily in the liver.,Pyruvate carboxylase requires biotin.,T,Converts pyruvate to oxaloacetate.,Insulin stimulates gluconeogenesis.,F,It inhibits it and stimulates glycolysis.
40,Biochemistry,Carb metabolism,2023,Regarding the TCA cycle:,It takes place in the cytosol.,F,Takes place in the mitochondrial matrix.,Isocitrate dehydrogenase is the rate-limiting enzyme.,T,Activated by ADP.,It produces 3 NADH per turn.,T,And 1 FADH2 and 1 GTP.,Succinyl-CoA synthetase produces ATP directly.,F,Produces GTP directly.,The cycle requires oxygen to operate.,T,Requires NAD+ and FAD regenerated by ETC.
41,Biochemistry,Amino metab,2023,Regarding the urea cycle:,It occurs exclusively in the mitochondria.,F,Both mitochondria and cytosol.,It safely disposes of ammonia.,T,Converts it to urea.,Carbamoyl phosphate synthetase I is the rate-limiting enzyme.,T,Requires N-acetylglutamate.,Arginase cleaves arginine into urea and ornithine.,T,Final step of cycle.,Defects in the cycle lead to hyperuricemia.,F,Lead to hyperammonemia.
42,Biochemistry,Amino metab,2023,Regarding transamination:,It requires pyridoxal phosphate (PLP) as a cofactor.,T,Derived from Vitamin B6.,ALT transfers an amino group to form oxaloacetate.,F,Forms pyruvate; AST forms oxaloacetate.,Glutamate serves as a major amino group collector.,T,Undergoes oxidative deamination.,It is an irreversible process.,F,Transamination is highly reversible.,Ammonia is released during transamination.,F,Released during deamination.
43,Biochemistry,Digestion,2023,Regarding digestion:,Amylase breaks down starch into monosaccharides.,F,Breaks down to maltose/dextrins.,Bile salts emulsify dietary fats.,T,Increases surface area for lipases.,Pepsinogen is activated by high pH.,F,Activated by low pH (HCl).,Enterokinase activates trypsinogen.,T,Located on the brush border.,Lactose is broken down into glucose and fructose.,F,Glucose and galactose.
44,Biochemistry,Digestion,2023,Regarding pancreatic enzymes:,Lipase digests triglycerides into monoglycerides and free fatty acids.,T,Requires colipase.,Trypsin specifically cleaves C-terminal to basic amino acids.,T,Arginine and lysine.,Chymotrypsin is secreted in its active form.,F,Secreted as chymotrypsinogen.,"Pancreatic amylase acts on beta-1,4 glycosidic bonds.",F,"Acts on alpha-1,4 bonds.",Secretin causes secretion of enzyme-rich pancreatic juice.,F,Causes bicarbonate-rich secretion.
45,Biochemistry,Water,2023,Regarding water and pH balance:,Intracellular fluid is the largest body water compartment.,T,About 2/3 of total body water.,Normal blood pH is 7.35-7.45.,T,Tightly regulated.,Hyperventilation leads to respiratory acidosis.,F,Leads to respiratory alkalosis (loss of CO2).,Bicarbonate is the major extracellular buffer.,T,Works with the respiratory system.,Vasopressin decreases water reabsorption in the kidneys.,F,It increases reabsorption (aquaporins).
46,Biochemistry,Water,2023,Regarding body fluids:,Extracellular fluid includes interstitial fluid and plasma.,T,Plasma makes up 1/4 of ECF.,Sodium is the major intracellular cation.,F,Potassium is major intracellular cation.,Water moves freely across cell membranes via aquaporins.,T,Driven by osmotic gradients.,Insensible water loss includes urine output.,F,Includes skin diffusion and respiratory loss.,Aldosterone regulates water balance indirectly by regulating sodium.,T,Water follows sodium.
47,Physiology,CVS,2024,Regarding the mechanical events of the heart:,The second heart sound is caused by closure of semilunar valves.,T,Marks the start of diastole.,The c-wave of the jugular venous pulse represents atrial contraction.,F,It represents ventricular contraction bulging the tricuspid valve.,Stroke volume increases when afterload increases.,F,Increased afterload decreases stroke volume.,The rapid filling phase occurs immediately after isovolumetric relaxation.,T,Pressure in ventricles drops below atrial pressure.,Left ventricular pressure reaches its peak during the ejection phase.,T,Maximum pressure is about 120 mmHg.
48,Physiology,CVS,2024,Regarding the conduction system of the heart:,The SA node is the primary pacemaker because it has the fastest discharge rate.,T,Auto-rhythmicity is highest at the SA node.,The AV node delay is approximately 0.1 seconds.,T,Allows time for ventricular filling.,Bundle of His is the only electrical connection between atria and ventricles.,T,The fibrous skeleton acts as an insulator.,Purkinje fibers have the slowest conduction velocity.,F,They have the fastest velocity for synchronized contraction.,Sympathetic nerves decrease the slope of the prepotential.,F,They increase the slope to increase heart rate.
49,Physiology,Renal,2024,Regarding renal clearance:,Clearance of a substance is the volume of plasma cleared of that substance per unit time.,T,Definition of clearance.,Para-aminohippuric acid (PAH) clearance measures GFR.,F,PAH clearance measures Renal Plasma Flow.,Creatinine clearance slightly overestimates GFR.,T,Due to small amount of tubular secretion.,If clearance is less than GFR the substance must have been reabsorbed.,T,Net reabsorption reduces clearance.,Clearance of glucose is normally 125 ml/min.,F,Normal glucose clearance is zero.
50,Physiology,Renal,2024,Regarding the countercurrent mechanism:,The descending limb of the loop of Henle is highly permeable to water.,T,Water moves out into the hypertonic medulla.,"The thick ascending limb is the ""diluting segment"".",T,Reabsorbs solutes but is impermeable to water.,The vasa recta act as countercurrent exchangers.,T,They maintain the medullary gradient.,ADH makes the collecting duct permeable to urea.,T,Assists in medullary hypertonicity.,The medullary interstitial osmolarity can reach 1200 mOsm/L.,T,Max concentration at the tip of the loop.
51,Physiology,Excitable tissues,2024,Regarding synaptic transmission:,The most common excitatory neurotransmitter in the CNS is GABA.,F,Glutamate is excitatory; GABA is inhibitory.,Calcium influx into the presynaptic terminal triggers exocytosis.,T,Ca2+ is essential for vesicle docking.,EPSPs are produced by the opening of chloride channels.,F,Chloride opening causes IPSPs (hyperpolarization).,Spatial summation occurs when multiple terminals fire simultaneously.,T,Summation over space.,The synaptic delay is usually 0.5 to 1.0 milliseconds.,T,Time required for release and diffusion.
52,Physiology,Excitable tissues,2024,Regarding the resting membrane potential (RMP):,RMP is primarily determined by the potassium concentration gradient.,T,Membrane is most permeable to K+ at rest.,The Sodium-Potassium pump is electrogenic.,T,Pumps 3 Na+ out for 2 K+ in.,In a typical nerve cell the RMP is -70 mV.,T,Normal physiological value.,Decreasing extracellular potassium causes depolarization.,F,It causes hyperpolarization.,The Nernst equation calculates the equilibrium potential for a single ion.,T,Relates concentration gradient to electrical potential.
53,Physiology,GIS,2024,Regarding pancreatic secretions:,The aqueous component is rich in bicarbonate ions.,T,Neutralizes gastric acid in the duodenum.,Cholecystokinin (CCK) stimulates the secretion of enzymes.,T,Acts on acinar cells.,Trypsin is secreted in its active form.,F,Secreted as trypsinogen to prevent autodigestion.,Vagal stimulation increases pancreatic secretion.,T,Cephalic phase of digestion.,Pancreatic lipase requires bile salts for optimal activity.,T,Aids in lipid emulsification.
54,Physiology,GIS,2024,Regarding intestinal motility:,Segmentation is the primary form of mixing in the small intestine.,T,Back and forth movement.,The migrating motor complex (MMC) occurs during the fed state.,F,Occurs during fasting to clear the gut.,Peristalsis is governed by the Law of the Gut.,T,Distension causes contraction behind and relaxation ahead.,The gastrocolic reflex increases motility in the colon after a meal.,T,Mediated by gastrin and nerves.,The internal anal sphincter is composed of skeletal muscle.,F,It is smooth muscle (involuntary).
55,Physiology,Neuro,2024,Regarding sensory receptors:,Nociceptors are specialized for sensing temperature.,F,They sense pain or tissue damage.,Phasic receptors adapt rapidly to a constant stimulus.,T,e.g. Pacinian corpuscles.,The receptive field is smaller in areas with high tactile acuity.,T,e.g. fingertips.,Acuity is increased by lateral inhibition.,T,Sharpens the contrast between stimuli.,Muscle spindles sense the tension in the muscle.,F,Spindles sense length; Golgi tendon organs sense tension.
56,Physiology,Neuro,2024,Regarding the Basal Ganglia:,The substantia nigra produces dopamine.,T,Loss leads to Parkinson's disease.,The striatum consists of the caudate nucleus and putamen.,T,Major input station.,Huntington's disease involves degeneration of the GABAergic neurons.,T,Leads to choreiform movements.,The indirect pathway promotes voluntary movement.,F,The direct pathway promotes it; indirect inhibits it.,Hemiballismus is caused by a lesion in the subthalamic nucleus.,T,Results in wild flailing movements.
