id,course,topic,year,q,a,b,c,d,ans,exp,img,content
101,PHY102,Magnetic Fields,2023,Magnetic forces are produced by ...,"Magnetic flux","Magnetic strength","Tesla","Moving electric charges",D,"Magnetic forces arise from the motion of charged particles.",,
102,PHY102,Magnetic Fields,2023,"A long straight conductor carries a current of 5 A. Find the magnetic field at a point 0.1 m away from the wire.","$$ 1.0 \times 10^{-5} B $$","$$ 1.0 \times 10^{-5} A $$","$$ 1.0 \times 10^{-5} T $$","$$ 1.0 \times 10^{-3} T $$",C,"Using Ampere's Law: $$ B = \frac{\mu_0 I}{2\pi r} $$.",,
103,MTH101,Set Theory,2022,"Use the Venn diagram to answer: How many students took the survey?","45","53","43","37",B,"Sum of all disjoint sets within the universal set.","https://raw.githubusercontent.com/Imoter2233/synapse_asset/main/Image1_pelvis.png",
104,MTH101,Matrices,2024,"Which of the following matrices is symmetric?","$$ \begin{bmatrix} 2 & 8 \\ 5 & 9 \end{bmatrix} $$","$$ \begin{bmatrix} 2 & 8 \\ -8 & -21 \end{bmatrix} $$","$$ \begin{bmatrix} 9 & -3 \\ 4 & 5 \end{bmatrix} $$","$$ \begin{bmatrix} 0 & 2 \\ 2 & 5 \end{bmatrix} $$",D,"A symmetric matrix is equal to its transpose, $$ A = A^T $$.",,
105,PHY101,Kinematics,2021,"A 2.50 kg mass undergoes an acceleration given by $$ \vec{a} = (2.00\hat{i} + 5.00\hat{j}) \, m/s^2 $$. Find the resultant force F.","$$ (5.0\hat{i} + 12.6\hat{j}) \, N $$","$$ (6.0\hat{i} + 26\hat{j}) \, N $$","$$ (5.0\hat{i} + 12.5\hat{j}) \, N $$","$$ 13.5 \, N $$",C,"$$ \vec{F} = m\vec{a} = 2.50(2.00\hat{i} + 5.00\hat{j}) = 5.00\hat{i} + 12.5\hat{j} \, N $$",,
106,BIO101,Genetics,2024,,,,,,,,,"Alleles responsible for traits are located on [[chromosomes|Thread-like structures of DNA]]. Megaspore develops into [[female gametophyte|The embryo sac in angiosperms]]. Ferns reproduce through [[spores|A haploid reproductive cell]]."
107,BIO101,Plant Classification,2023,,,,,,,,,"The basic criteria for classification of plants are [[vascular tissues|Tissues like xylem and phloem]], [[seeds|Reproductive structures]], and [[flowers|Reproductive organs of angiosperms]]. In 1883 Eichler divided the plant kingdom into two sub-kingdoms namely [[Cryptogamae|Seedless plants]] and [[Phanerogamae|Seed-bearing plants]]."
108,PHY103,Thermodynamics,2022,"Identify the correct information:","Transition from liquid to gas occurs at constant temperature","Matter exists in three states","Every matter transits from solid through liquid","None of the above",A,"During a phase change, heat is absorbed (latent heat) without a change in temperature.",,
109,MTH101,Sequence and Series,2021,"The 3rd term of a G.P is 4. Then the product of the first 5 terms is:","$$ 4^3 $$","$$ 4^4 $$","$$ 4^5 $$","20",C,"Let terms be $$ a/r^2, a/r, a, ar, ar^2 $$. The 3rd term is $$ a = 4 $$. Product is $$ a^5 = 4^5 $$.",,
110,PHY102,Electromagnetism,2024,"An electron with velocity $$ 2.0 \times 10^6 m/s $$ enters a uniform magnetic field of strength 0.01 T perpendicular to its velocity. Find the radius of its circular path.","1.14 mm","1.14 m","$$ 1.14 \mu m $$","1.14 cm",A,"Radius $$ r = \frac{mv}{qB} $$. Substitute mass of electron, charge, v, and B to get 1.14 mm.",,
111,MTH101,Progression,2022,"If a, b, c are in arithmetic progression, then:","a + c = b","b = a + c / 2","b^2 = a + c","a = b + c",B,"In an AP, the middle term is the average of the surrounding terms.",,
112,PHY102,Electricity,2023,"A point charge of -2.5C contains how many electrons?","$$ 1.56 \times 10^{19} $$","$$ 1.6 \times 10^{19} $$","$$ 6.4 \times 10^{19} $$","$$ 1.602 \times 10^{19} $$",A,"Number of electrons $$ n = Q/e = 2.5 / (1.6 \times 10^{-19}) \approx 1.56 \times 10^{19} $$.",,
113,PHY101,Dynamics,2021,"When running, your feet are usually pushed backwards on the ground as your body pushes forward. This is an example of:","Newton's first law","Newton's second law","Newton's third law","Kinematics",C,"Action and reaction are equal and opposite.",,
114,BIO101,Cell Biology,2024,,,,,,,,,"Mitochondria are the [[powerhouse|Energy producers]] of the cell. Ribosomes are sites for [[protein synthesis|Translation]]. The nucleus contains [[DNA|Genetic material]]. Photosynthesis occurs in [[chloroplasts|Plant organelles]]."
115,MTH101,Sets,2022,"From the laws of union and intersection, A ∩ Ø is equal to:","A","U","B","Ø",D,"The intersection of any set with an empty set is an empty set.",,
116,PHY102,Electricity,2024,"What voltage can a point charge of 2 nC produce 2.0 cm away from its position?","180 V","500 V","900 V","1800 V",C,"$$ V = kq/r = (9 \times 10^9 \times 2 \times 10^{-9}) / 0.02 = 18/0.02 = 900 V $$.",,
117,PHY101,Dynamics,2021,"The ability of objects to resist changes in motion is called:","Weight","Inertia","Inertia frame","Mass",B,"Inertia is the property of matter by which it continues in its existing state of rest or uniform motion.",,
118,BIO101,Biology General,2023,,,,,,,,,"An individual's finger print is significant for genetic study because it is useful in [[forensic science|Crime investigation]]. The food our MCB course representative eats control traits in him is [[TRUE|Trait expression]]."
119,PHY103,Thermodynamics,2022,"Calculate the efficiency of a Carnot engine operating between $$ T_H = 500K $$ and $$ T_C = 300K $$.","60%","20%","40%","80%",C,"Efficiency $$ \eta = 1 - (T_C/T_H) = 1 - (300/500) = 0.4 $$ or 40%.",,
120,MTH101,Matrices,2024,"Evaluate the determinant of $$ \begin{bmatrix} 1 & 2 \\ 3 & 4 \end{bmatrix} $$","10","-2","2","0",B,"Determinant $$ = (1 \times 4) - (2 \times 3) = 4 - 6 = -2 $$.",,